Author,Conv.,Residual,Inception,Capsule,Dense,Sep. Conv.
{\cite{Cheng.2016}},x,,x,,,
{\cite{Bentes.2018}},x,,,,,
{\cite{Guo.2017}},x,,,,,
{\cite{Harangi.2018}},x,,,,,
{\cite{Nogueira.2017}},x,,x,,,
{\cite{Elhoseiny.2015}},x,,,,,
{\cite{Rastegari.2016}},x,,,,,
{\cite{Jeon.2017}},x,,,,,
{\cite{Xu.2019}},x,,,,,
{\cite{Tokozume.2018}},x,x,x,,x,
{\cite{Taha.2020}},,x,x,,x,
{\cite{Wang.2017b}},x,x,x,,,
{\cite{Kortylewski.2020}},x,,,,,
{\cite{Murthy.2016}},x,,,,,
{\cite{He.2015}},x,,x,,,
{\cite{Dvornik.2019}},,x,,,,
{\cite{Wang.2019b}},x,,,,,
{\cite{Wu.2015}},x,,,,,
{\cite{Phan.2020}},x,,,,,
{\cite{Wang.2017}},,x,,,,
{\cite{Singh.2018}},x,,,,,
{\cite{Yang.2018}},x,,,,,
{\cite{Gowal.2019}},x,,,,,
{\cite{Zhang.2016}},x,,x,,,
{\cite{Liu.2015}},x,,,,,
{\cite{Xiao.2015}},x,,,,,
{\cite{vanHorn.2018}},,x,x,,,
{\cite{Zhu.2016}},x,,,,,
{\cite{Chen.2020}},x,x,,,,
{\cite{He.2016}},,x,,,,
{\cite{Szegedy.2015}},,,x,,,
{\cite{Lecun.1998}},x,,,,,
{\cite{Szegedy.2017}},,x,x,,,
{\cite{Lin.2013}},x,,,,,
{\cite{Liu.2018}},,,,,,x
{\cite{Real.2019}},,,,,,x
{\cite{Yamada.2019}},,x,,,,
{\cite{Gastaldi.2017}},,x,,,,
{\cite{Simonyan.2014}},x,,,,,
{\cite{Zeiler.2014}},x,,,,,
